,Year,Month,Day,Trains
669,2020,10,31,906
670,2020,11,1,843
671,2020,11,2,1060
672,2020,11,3,1125
673,2020,11,4,1137
674,2020,11,5,1094
675,2020,11,6,1108
676,2020,11,7,911
677,2020,11,8,818
678,2020,11,9,1045
679,2020,11,10,1074
680,2020,11,11,1042
681,2020,11,12,1068
682,2020,11,13,1053
683,2020,11,14,941
684,2020,11,15,862
685,2020,11,16,1061
686,2020,11,17,1039
687,2020,11,18,1040
688,2020,11,19,1038
689,2020,11,20,1044
690,2020,11,21,1013
691,2020,11,22,924
692,2020,11,23,1143
693,2020,11,24,1070
694,2020,11,25,1041
695,2020,11,26,1045
696,2020,11,27,1045
697,2020,11,28,965
698,2020,11,29,849
699,2020,11,30,933
700,2020,12,1,853
701,2020,12,2,864
702,2020,12,3,852
703,2020,12,4,855
704,2020,12,5,811
705,2020,12,6,759
706,2020,12,7,902
707,2020,12,8,849
708,2020,12,9,924
709,2020,12,10,883
710,2020,12,11,868
711,2020,12,12,832
712,2020,12,13,668
713,2020,12,14,853
714,2020,12,15,850
715,2020,12,16,875
716,2020,12,17,848
717,2020,12,18,865
718,2020,12,19,819
719,2020,12,20,748
720,2020,12,21,855
721,2020,12,22,882
722,2020,12,23,865
723,2020,12,24,855
724,2020,12,25,728
725,2020,12,26,728
726,2020,12,27,736
727,2020,12,28,859
728,2020,12,29,847
729,2020,12,30,856
730,2020,12,31,681
